"code_muni";"muni";"OBITOS";"POP";"TAXA";"PROP_IDOSO"
330010;"ANGRA DOS REIS";116;103958;11,15835241;15,59959803
330015;"APERIBE";12;7227;16,60440017;20,55166375
330020;"ARARUAMA";47;85439;5,501000714;21,29517395
330022;"AREAL";6;7292;8,228195283;18,85420072
330023;"ARMACAO DOS BUZIOS";14;25316;5,530099542;14,82022525
330025;"ARRAIAL DO CABO";12;20292;5,913660556;20,64706959
330030;"BARRA DO PIRAI";44;60690;7,249958807;20,82415407
330040;"BARRA MANSA";101;113763;8,878106238;20,3403637
330045;"BELFORD ROXO";145;299134;4,847325948;14,62712947
330050;"BOM JARDIM";15;18158;8,260821676;18,59362389
330060;"BOM JESUS DO ITABAPOANA";14;22943;6,102079066;21,13956742
330070;"CABO FRIO";122;143216;8,518601274;18,67269048
330080;"CACHOEIRAS DE MACACU";30;36521;8,214451959;19,07014055
330090;"CAMBUCI";8;9852;8,120178644;23,58991374
330093;"CARAPEBUS";8;8543;9,3643919;17,78010471
330095;"COMENDADOR LEVY GASPARIAN";2;5396;3,706449222;18,91862008
330100;"CAMPOS DOS GOYTACAZES";235;302142;7,777799842;17,12237313
330110;"CANTAGALO";23;12396;18,55437238;20,86417283
330115;"CARDOSO MOREIRA";6;8320;7,211538462;21,40565545
330120;"CARMO";17;11135;15,26717557;21,1048478
330130;"CASIMIRO DE ABREU";20;28552;7,004763239;16,94499928
330140;"CONCEICAO DE MACABU";10;13058;7,658140603;18,99030732
330150;"CORDEIRO";12;13332;9,00090009;20,54653982
330160;"DUAS BARRAS";8;6925;11,55234657;19,30597146
330170;"DUQUE DE CAXIAS";326;501986;6,494205018;16,11756028
330180;"ENGENHEIRO PAULO DE FRONTIN";10;8188;12,21299463;22,70714738
330185;"GUAPIMIRIM";19;31539;6,02428739;16,46040516
330187;"IGUABA GRANDE";39;18878;20,65896811;23,89356595
330190;"ITABORAI";78;144720;5,389718076;16,92509582
330200;"ITAGUAI";52;70318;7,394977104;15,54605582
330205;"ITALVA";6;9614;6,240898689;24,21988014
330210;"ITAOCARA";12;15558;7,71307366;23,90136615
330220;"ITAPERUNA";84;67620;12,42236025;20,06694888
330225;"ITATIAIA";14;19640;7,128309572;17,41909831
330227;"JAPERI";30;56363;5,322640739;12,23213149
330230;"LAJE DO MURIAE";3;4643;6,461339651;21,2157173
330240;"MACAE";109;150887;7,223949048;13,39451347
330245;"MACUCO";2;3331;6,004202942;18,44313515
330250;"MAGE";140;140652;9,953644456;16,3520312
330260;"MANGARATIBA";40;27386;14,60600307;20,10132037
330270;"MARICA";192;132312;14,51115545;19,23759116
330280;"MENDES";22;11736;18,7457396;23,4472824
330285;"MESQUITA";50;106560;4,692192192;17,51424752
330290;"MIGUEL PEREIRA";17;18397;9,24063706;24,84087757
330300;"MIRACEMA";12;17150;6,997084548;19,87258456
330310;"NATIVIDADE";14;9702;14,43001443;22,09003215
330320;"NILOPOLIS";80;98808;8,096510404;20,24378954
330330;"NITEROI";256;343599;7,450545549;23,69252206
330340;"NOVA FRIBURGO";100;130966;7,635569537;21,44269358
330350;"NOVA IGUACU";244;490939;4,970067564;16,37431409
330360;"PARACAMBI";24;27443;8,745399555;19,26653839
330370;"PARAIBA DO SUL";36;26801;13,43233461;19,84392921
330380;"PARATY";28;27764;10,08500216;14,03578779
330385;"PATY DO ALFERES";18;18691;9,630303355;18,82596905
330390;"PETROPOLIS";187;188435;9,923846419;21,48361092
330395;"PINHEIRAL";21;15141;13,86962552;18,74028304
330400;"PIRAI";23;17640;13,03854875;19,15054726
330410;"PORCIUNCULA";9;10721;8,394739297;19,73979363
330411;"PORTO REAL";6;12102;4,957858205;14,64584125
330412;"QUATIS";6;8473;7,081317125;17,98982907
330414;"QUEIMADOS";50;84703;5,902978643;14,82899935
330415;"QUISSAMA";8;13479;5,935158395;17,81544582
330420;"RESENDE";64;83926;7,625765555;17,22742203
330430;"RIO BONITO";19;36415;5,217630097;19,00427994
330440;"RIO CLARO";12;11088;10,82251082;19,82172702
330450;"RIO DAS FLORES";11;5456;20,16129032;18,41537133
330452;"RIO DAS OSTRAS";65;99231;6,550372363;15,2356647
330455;"RIO DE JANEIRO";3469;4217820;8,224627888;19,96963102
330460;"SANTA MARIA MADALENA";8;6778;11,80289171;23,24416296
330470;"SANTO ANTONIO DE PADUA";15;27429;5,468664552;20,73890949
330475;"SAO FRANCISCO DE ITABAPOANA";23;27837;8,262384596;18,22538423
330480;"SAO FIDELIS";18;25849;6,963518898;21,14231619
330490;"SAO GONCALO";554;609132;9,094908821;19,38298156
330500;"SAO JOAO DA BARRA";12;24208;4,957038995;19,16658055
330510;"SAO JOAO DE MERITI";180;277865;6,477965919;17,29620008
